metric,first_author,year,id,title,country,lme1,lme2,lme3,lme4,lme5,lme6,location,distance_to_shore,depth_min,depth_max,depth_ave,ecology,governance,socioecon,wave_height_average_m,sst_c,chla,policy_pathways,regulations,management_obstacles,gross_cost_usd,stakeholder_support,conflicts,aquaculture_present,wind_present,wave_present,tidal_present,other_present,phrase_identifier,definition,notes
,Abhinav et al,2020,ab_2020,"Offshore multi-purpose platforms for a Blue Growth: A technological, environmental and socio-economic review",,None,,,,,,,,,,,1,0,1,,,,,,,,"Wave/wind: job creation, low carbon impact, etc
aquaculture: food production","ORE: visual obstruction and conflict with fishermen
WEC: fishermen and other ocean space users
Aquaculture: workers rights, environmental impacts",1,1,1,0,1,,,
,Banach,2020,ba_2020,Food safety during seaweed cultivation at offshore wind farms: An exploratory study in the North Sea,,North Sea,,,,,,,,,,,0,1,0,,,,,,,,,,1,1,0,0,0,,,
,Benjamins et. al,2020,be_2020,Integrating Wind Turbines and Fish Farms: An Evaluation of Potential Risks to Marine and Coastal Bird Species,,North Sea,,,,,,Coastal waters of western and northern Scotland,,,,,1,0,0,,,,,,,,,,1,1,0,0,0,,,Thought experiment to assess potential for increased collision risks to local marine and coastal bird species due to integration of small wind turbines; Used a sensitivity index with 12 factors and found that large gulls and European shag are at greatest potential risk; 
,Nassar et al,2020,na_2020,Assessment of Multi-Use Offshore Platforms: Structure Classification and Design Challenges,,None,,,,,,,,,,,0,1,0,,,,,,,,,,1,1,1,1,1,Review,,
,Onyango et al,2020,on_2020,Is Demonstrating the Concept of Multi-Use Too Soon for the North Sea? Barriers and Opportunities from a Stakeholder Perspective,North Sea,North Sea,,,,,,variable,,,,,0,1,1,,,,national variability. Key barriers include lack of MU-friendly policies,national variability. ,requires MSP to process to enable co-existence of compatible actvities; discusses that some nations doNOT include Oil and gas as potential multiple use contributors,NOT EXACT #. discusses availbility of economic incentives (only 1 nation had these) and other economic Drivers/barriers.,notes oppoition to aquaculture/OWF as a barrier,notes oppoition to aquaculture as a barrier,1,1,1,1,1,User Conflicts,,examined 10 MU combinations (3 involved aquaculture). Notes the lack of general MU definition. There is no way to uniformly do MU b/c each nation has different regulations and the NS is a highly contested and crowded space (user conflicts)
,van den Burg et al,2020,vdb_2020,Development of multi-use platforms at sea: Barriers to realising Blue Growth,variable,None,,,,,,variable,,,,,0,1,1,,,,,,13 legal barriers were identified (6 hamper MUP development and 5 represent the lack of legislation to develop MUPs),NOT EXACT #. major economic barrier were identified (120 barriers across 6 categories),notes that social dynamics are given less attention. ,25 social barriers were identified,1,1,1,0,1,Barriers,,"FOCUSES ON BARRIERS TO MUP. qualitative review of 21 multi-use projects. focus on each project's contrbution to ""Blue Growth"". "
,van Hoof,2020,vh_2020,Can multi-use of the sea be safe? A framework for risk assessment of multi-use at sea,variable,North Sea,,,,,,variable,,,,,0,1,1,,,,,,Risk. Calls for collaboration across organizations to manage correctly.,,,,1,1,1,0,1,Safety/Risk,Schupp et al. (2019; p4) define such multi-use as:‚Äù ‚Ä¶ the joint use of resources in close geographic proximity by either a single user or multiple users. It is an umbrella term that covers a multitude of use combinations in the marine realm and represents a radical change from the concept of exclusive resource rights to the inclusive sharing of resources and space by one or more users.‚Äù,
,Bocci et al,2019,boc_2019,Multi-use of the sea: A wide array of opportunities from site-specific cases across Europe,Europe (variable),North Sea,Baltic Sea,Mediterranean Sea,Iberian Coastal,,,variable,,,,,0,1,1,,,,Drivers listed but NO barriers,"""the existence of a legal, regulatory and planning framework supporting and enabling MU is a key component for real MU development and operation.""",,NOT EXACT #. but drivers and barriers noted,,most social barriers were linked to aquaculture,1,1,1,1,1,Recommendations,,
,Bonnevie et al,2019,bon_2019,Assessing use-use interactions at sea: A theoretical framework for spatial decision support tools facilitating co-location in maritime spatial planning,EU,None,,,,,,,,,,,1,0,1,,,,,,,,"""positive user"" effects of shared visitor or shared staff",,1,0,0,0,1,Recommendations,‚Äúthe same sea area can have simultaneously more than one use‚Äù,Great and thorough definition of co-location and the other terms (section 2.1). Other conclusions are generally vague
,Calado et al,2019,ca_2019,Multi-uses in the Eastern Atlantic: Building bridges in maritime space,East Atlantic,Iberian Coastal,,,,,,variable,,,,,0,1,1,,,,Calls for MSP and maritime planning ,"""In other cases, despite national legislation and marine plans not addressing the MU concept, some sectoral strategic documents refer to the combination of activities or synergies amongst users. An example is the Irish Offshore Renewable Development Plan (Irish Government/ Department of Communications Energy and Natural Resources, 2014), which sets forward a list of project-level mitigation measures addressing interactions with other maritime users""",need for international collaboration,,calls for early stakeholder engagement,conflicts with maritime activities,1,1,1,1,1,Recommendations,,
Aquaculture,Depellegrin et al,2019,de_2019_v1,Exploring Multi-Use potentials in the Euro-Mediterranean sea space,Euro-Mediterranean sea,Mediterranean Sea,,,,,,,8,,70,70,1,0,1,,,,,,,NOT EXACT # but lists 'cost' as an added value to multi-use systems,,"lack of funding, fishers",1,1,0,0,1,,The joint use of resources in close geographic proximity. This can involve either a single user or multiple users performing multiple uses.,Definition was grounded by expert group in a workshop
Aquaculture,Depellegrin et al,2019,de_2019_v2,Exploring Multi-Use potentials in the Euro-Mediterranean sea space,Euro-Mediterranean sea,Mediterranean Sea,,,,,,,1.2,,40,40,1,0,1,,,,,,,NOT EXACT # but lists 'cost' as an added value to multi-use systems,,"lack of funding, fishers",1,1,0,0,1,,The joint use of resources in close geographic proximity. This can involve either a single user or multiple users performing multiple uses.,Definition was grounded by expert group in a workshop
Aquaculture,Depellegrin et al,2019,de_2019_v3,Exploring Multi-Use potentials in the Euro-Mediterranean sea space,Euro-Mediterranean sea,Mediterranean Sea,,,,,,,1.9,,,,1,0,1,,,,,,,NOT EXACT # but lists 'cost' as an added value to multi-use systems,,"lack of funding, fishers",1,1,0,0,1,,The joint use of resources in close geographic proximity. This can involve either a single user or multiple users performing multiple uses.,Definition was grounded by expert group in a workshop
Aquaculture,Flikkema and Waals,2019,fl_2019_v1,Space@Sea the Floating Solution,"North Sea, Mediterranean",North Sea,Mediterranean Sea,,,,,,37,,,,0,0,1,,,,,,,,conducted for understanding inhabitant needs,need for regluations,1,0,0,0,1,,,
Aquaculture,Flikkema and Waals,2019,fl_2019_v2,Space@Sea the Floating Solution,"North Sea, Mediterranean",North Sea,Mediterranean Sea,,,,,,60,,,,0,0,1,,,,,,,,conducted for understanding inhabitant needs,need for regluations,1,0,0,0,1,,,
,Green at al,2019,gr_2019,Enabling Power at Sea: Opportunities for Expanded Ocean Observations through Marine Renewable Energy Integration,,Gulf of Alaska,California Current,Gulf of California,Gulf of Mexico,SE U.S. Continental Shelf,NE U.S. Continental Shelf,,,,,,0,0,1,,,,,,,,ocean observation stakeholders,,1,0,1,1,1,stakeholder survey,,interviews regarding potential benefits of powering ocean observing with MRE
Aquaculture,Lagasco et al.,2019,lag_2019,NEW ENGINEERING APPROACH FOR THE DEVELOPMENT AND DEMONSTRATION OF A MULTI-PURPOSE PLATFORM FORTHE BLUE GROWTH ECONOMY,,None,,,,,,,,100,200,150,0,0,0,,,,,,,,,,1,1,1,0,0,,,orphan
,Schupp et al,2019,sc_2019,Toward a Common Understanding of Ocean Multi-Use,European Seas,None,,,,,,variable,,,,,0,1,1,,,,,,"there is no ""one size fits all"" approach",NOT Exact #,,msp can manage user conflicts; ,1,1,1,0,1,Typology for 'multi-use',refers to as symbiosis,Builds a typology and provides definition for multi use 
Aquaculture,Sie et al,2018,si_2018,"Stakeholders Opinions on Multi-Use Deep Water Offshore Platform in Hsiao-Liu-Chiu, Taiwan",Hsiao-Liu-Chiu Island,South China Sea,,,,,,,22,0,300,150,1,0,1,,,,,,,,general support becuase of positive impacts like increased tourism (economic prosperity) and fish production,Potential environmental impacts,1,1,0,0,1,Stakeholder survey,,
Aquaculture,Tullio et. al,2018,tu_2018,Sustainable use of marine resources through offshore wind and mussel farm co-location,,North Sea,,,,,,Danish portion of Baltic Sea and western part of Danish North Sea,,0,200,100,1,0,0,,13,2,,,,,,,1,1,0,0,0,,,Used multi-criteria evaluation (MCE) technique for co-locating offshore wind farms and open-water mussel cultivation to develop an index of co-location sustainability (SI)
Aquaculture,Weiss et. al,2018,we_2018_b,Co-location opportunities for renewable energies and aquaculture facilities in the Canary Archipelago,,Canary Current,,,,,,"Tenerife Island, Gran Canaria Island, Fuerteventura Island, and Lanzarote Island",25,0,300,150,1,0,0,5,,,,,,,,,1,1,0,0,0,"Proposes a method that integrates several selection criteria, responding to the needs and limitations of marine aquaculture and renwable energy production in order to identify opportunities for the co-location of these activities; 3 steps: 1. evaluated suitability of studied area for exploitation of offshore wind/wave energy according to energy production and to structural, operational, and energy transport 2. evaluating suitability for farming 8 commercial fish species in offshore cages according to biological, structural, and operational aspects 3. integrate results for each activity and combined exploitation; ",,
Aquaculture,Bas et al,2017,ba_2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the Baltic Sea,Baltic Sea (Kriegers Flak),Baltic Sea,,,,,,,15,,25,25,1,1,1,1.5,20,,"Discusses wind and aquaculture and env't separately:
Wind: section 3.2.3.1 ""In general, the establishment of offshore wind turbines can follow two different procedures: a government tender procedure run by the Danish Energy Agency; or an open-door procedure.""
Aquaculture: seciotn 3.2.3.2.
Environmental Concerns: section 3.2.3.3.","""The Danish Government provides the main conditions for offshore wind parks in the Promotion of Renewable Energy Act (Act no 1392 27th December 2008), and the Danish Electricity Act (Danish Energy Policy 2012).""",,"Wind: ""The total price of the wind farm is expected to be between 2.0 and 2.7 billion Euro, whereof the grid connection is budgeted at 0.47 billion Euro."" 
Salmon farming: ""in existing 3000 tons farms, production costs are 2.85 Euro per kg and it is expected to have slightly lower production costs in a larger farm, but also slightly higher cost of insurance. Expected revenues from famring is 36 million Euro per year."" section 3.4
Also discusses job creation.","Discusses ""vulnerable"" persons due to this project.","Public perception. NGOs are opposed to auqauculture (more so than wind) due to emission of nutrients and the interaction with habitats and species. Later discusses need for EIA report. Also, lack of data to complete full social cost benefit analysis.",1,1,0,0,0,Case study,no,MERMAID  project publication 
,Koundouri et al,2017,ko_2017_a,Introduction to the MERMAID Project,European seas (4 sites),North Sea,Baltic Sea,Celtic Biscay Shelf,Iberian Coastal,Mediterranean Sea,,,,,,,1,0,1,,,,,,,"NOT EXACT # ""Economic efficiency satisfies the condition that the marginal (social) cost of each production activity under consideration equals the respective marginal (social) benefit.""","""Involving different stakeholders has shared and increased knowledge on the difficulties with regards to the development and implementation of MUŒüPs.""",,1,1,1,1,1,,,MERMAID
,Koundouri et al,2017,ko_2017_b,Methodology for Integrated Socio-economic Assessment of Multi-use Offshore Platforms,European seas,North Sea,Baltic Sea,Celtic Biscay Shelf,Iberian Coastal,Mediterranean Sea,,,,,,,0,0,1,,,,,,,,,,1,1,1,0,0,,,MERMAID
Aquaculture,Koundouri et al,2017,ko_2017_c,Socio-economic Analysis of a Selected Multi-use Offshore Site in the Mediterranean Sea,Mediterranean Sea,Mediterranean Sea,,,,,,,16,,16,16,1,1,1,1.25,14,,,"Lists organizations of both aquaculture and offshore energy (Sections 6.2.3.1 and 6.2.3.2)
""It has to be stressed that aquaculture in the European Union (EU) is regulated by strict laws.""
","no regional or national legislation regulating renewable offshore energy in the region. No national or regional legislation exists to regulate subsidies for such
a project. Unlike other energy sectors, wind energy generation is at an early stage of
development and there is no established industry consensus on codes and
standards.","""The Northern Adriatic Sea site‚Äôs wind-fish farm requires 44 million euros for the establishment of the wind farm and it is expected to produce 1 million euros per year for 20 GWh per year in energy extraction. However, no more information is available. Hence, it was not possible to run the social cost benefit analysis for this function.""
""Given the current market status (prices, days payable/receivable etc) the total fish farming investment is estimated at 18.8 million euros and is expected to break even at year 13""","Discusses ""vulnerable"" persons due to this project: coastal communities of Venice, energy industry suppliers, transportation industry, machinery industry, etc","Environmental impacts (table 6.3 and 6.4)
ALSO seems that this analysis yielded that this multi use solution was not viable: ""Our preliminary, although tentative, analysis suggests that in the short term using a multi-use design with wind energy and fish production would be financially not sustainable, due to both low energy and fish production, and would bear high environmental risks. However, in the long-run, coastal and marine spaces might become more limited, and then going offshore will become more important to avoid unplanned and crowded uses in the future.""",1,1,1,0,0,Case study,no,MERMAID  project publication. Somewhat negative for co-location of fish farming. WOuld still need subsidies 
,O'Donncha et al,2017,od_2017,Modelling study of the effects of suspended aquaculture installations on tidal stream generation in Cobscook Bay,"Cobscook Bay, Maine",NE U.S. Continental Shelf,,,,,,,,,,,1,1,0,,,,,,,,,,1,0,0,1,0,,,
,Pringle et al,2017,pr_2017,Aquavoltaics: Synergies for dual use of water area for solar photovoltaic electricity generation and aquaculture,,None,,,,,,,,,,,1,1,0,,,,"""Processes are simplified and become easier when knowledge is free and easily accessible to both small time users and large companies""",,Rapid growth of the industry requires that policy is dynamic and safeguards the environment while protecting operation costs,,,,1,0,0,0,1,Review and recommendations,,
Aquaculture,Soderqvist,2017,so_2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the North Sea,Gemini,North Sea,,,,,,,55,29.5,33.4,31.45,0,1,1,2.1,20,,"Outlined in ""Policy Document North Sea 2009 -2015"". ""However, this has not yet resulted in establishing a regulatory framework for multi-use.""",Extensive regulations outlined for renewable energy generation in the Netherlands. Also there has been more prelimilary reference to Multi use of marine areas in national law,"""Already awarded permits for offshore wind farms such as the Gemini site are only for single-use. The absence of licences for multi-use production is a major obstacle. Also, as was mentioned above, there are no areas designated for offshore aquaculture in the Dutch spatial plans for the North Sea.""",Table 4.6 for both wind and mussel costs. Shows that it would be profitable. Wind farms would need subsidies,,lack of trust amongst potential users. Issues with fishermen who will lose fishing grounds. Environmental impacts,1,1,0,0,0,Case study,no,MERMAID  project publication. Suggests that co locating bivalve cultivation with wind generation would be socio econoically and finacially viable 
,Xepapadeas et al,2017,xe_2017,Risk Analysis for the Selected MERMAID Final Designs,European seas (4 sites),North Sea,Baltic Sea,Celtic Biscay Shelf,Iberian Coastal,Mediterranean Sea,,,,,,,0,0,1,,,,,,,,,,1,1,1,0,0,,,MERMAID
Aquaculture,Jansen et al ,2016,ja_2016,The feasibility of offshore aquaculture and its potential for multi-use in the North Sea,Dutch North Sea,North Sea,,,,,,variable,,11,40,25.5,1,1,1,,18,20,"""This requires the support of long-term investment potential, and long-term licensing and policies.""",,"""Despite the interest in combining functions in policy documents (MIE 2014), laws and regulations do not foresee in such combinations. Until recently, the concessions granted to offshore wind park operators made co-use illegal.""",,Best case scenario for stakeholder support would be to utilize co-management (concept of a covenant),,1,1,0,0,1,Recommendations,no,Calls on the Dutch gov't to create these opportunites through subsities and MSP and co-management
,Stuiver et al,2016,stu_2016,The Governance of Multi-Use Platforms at Sea for Energy Production and Aquaculture: Challenges for Policy Makers in European Seas,European Seas,North Sea,Baltic Sea,Celtic Biscay Shelf,Iberian Coastal,Mediterranean Sea,,,,,,,0,1,0,,,,"Makes 4 recommendations: 1) clear licensing procedure and framework, 2) financial support, 3) environmental management, 4) involved stakeholders from the onset
",,"Bureaucratic obstacles: authorizations, licenses, infrastructure, etc. Also, wave energy is still in its infancy and there is no regional or national legistlaion for it",,,,1,1,1,1,0,Case study,,compares case studies from different North Sea regions. Most optimistic circumstances are with Southern North Sea
,van den Burg et al,2016,vdb_2016,Participatory Design of Multi-Use Platforms at Sea,European Seas,North Sea,Baltic Sea,Celtic Biscay Shelf,Iberian Coastal,Mediterranean Sea,,,,,,,0,1,1,,,,,,,,,,1,1,1,0,0,Stakeholder assessment,no,Participatory design focused on MERMAID projects
Aquaculture,Zanuttigh et al,2016,za_2016,A methodology for multi-criteria design of multi-use offshore platforms for marine renewable energy harvesting,Mediterranean Sea,Mediterranean Sea,,,,,,,10,,,,0,1,1,2,,,,"""As for aquaculture, the Legislative Decree No.11954 of 2010, Art. 4 (1) on the Production of marine animals and algae by biological aquaculture""","""The design of the MUP should follow the Regional, National and European legislation framework. However, the different uses have different level of regulations due also to the market development stage and number of existing installations.""",,,,1,1,1,0,0,Recommendations,no,Presents methods for how to design co-located structures for specific areas
Aquaculture,Gimple et al,2015,gi_2015,A GIS modelling framework to evaluate marine spatial planning scenarios: Co-location of offshore wind farms and aquaculture in the German EEZ,North Sea,North Sea,,,,,,,,0,60,30,1,0,1,,,,,,,,,,1,1,0,0,0,,,
Aquaculture,O'Donncha et al,2015,od_2015,Numerical modelling study of the effects of suspended aquaculture farms on tidal stream energy generation,,None,,,,,,,,60,200,130,1,1,0,,,,,,,,,,1,0,0,1,0,modelling,no,modelling optimum density of aquaculure/tidal farms
,Wever et al,2015,we_2015,"Lessons from stakeholder dialogues on marine aquaculture in offshore wind farms: Perceived potentials, constraints and research gaps",German North Sea,North Sea,,,,,,,,,,,0,1,1,,,,Discusses EU policies about making changes to EEZs BUT also notes the vaugity of these policies in terms of how it allpies to co-location and calls for continued research on the matter,,,NOT EXACT # but discusses high investment cost and incremental return. Not feasible for individual fishers/farmers,there are winners and losers,Environmental impacts. Conflicts with fishermen,1,1,0,0,0,Stakeholder assessment,no,stakeholder workshop to gain insights and concerns
Aquaculture,Zanuttigh et al,2015,za_2015,"Boosting Blue Growth in a Mild Sea: Analysis of the Synergies Produced by a Multi-Purpose Offshore Installation in the Northern Adriatic, Italy",North Adriatic Sea,Mediterranean Sea,,,,,,,16,0,40,20,1,0,1,2,,,,,,"NOT EXACT #. Cost increases with depth. The most cost effective choice of MUP from this project is the intregrated fixed wave energy devices, mini-wind and fish farm.","Stakeholder support will require a ""participatory and multidisciplinary design process based on clear responsibilities and cooperation amongst users."" also energy and tech sectors requested access to training MUPs",,1,1,1,1,0,,,
Aquaculture,Benassai et al,2014,be_2014,A Sustainability Index of potential co-location of offshore wind farms and open water aquaculture,,North Sea,Baltic Sea,,,,,,30,0,500,250,1,1,0,,12,10,,,,,,,1,1,0,0,0,,,
,Christie et al,2014,ch_2014,Co-location of activities and designations: A means of solving or creating problems in marine spatial planning?,UK Waters,North Sea,Celtic Biscay Shelf,,,,,,,,,,0,1,0,,,,"Crown Estate is responsible for leasing the seabed, under MarineManagement Organisation (MMO) for licensing",Marine and Coastal Access Act 2009,leasing seabed beyond 12 nm is unclear,,,,1,1,0,0,0,Legal review,concurrent activities in time or space,Also review MPAs and fishing being co-located with wind but we dont care about those
,Lacroix and Pioch,2011,la_2011,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,Global,None,,,,,,,,,,,0,1,1,,,,,,,,,"""Not In My Backyard"" (NIMBY) effect",1,1,0,0,1,Review and recommendations,no,"Fairly anecdotal; likely due to being 10 years old. TOuches on a lot of topics but doesn't have much data or make many serious claims but author has lots of ""ideas"""
,Michler-Cieluch and Krause,2009,mi_2009,Reflections on integrating operation and maintenance activities of offshore wind farms and mariculture,North Sea,North Sea,,,,,,,,,,,0,0,1,,,,,,,NOT EXAACT # discusses cost savings and the importance of saving money on O&M costs,Supported by both sector stakeholders becuase of cost savings,,1,1,0,0,0,Recommendations,,
Aquaculture,Buck et al,2008,bu_2008,Meeting the quest for spatial efficiency: progress and prospects of extensive aquaculture within offshore wind farms,North Sea,North Sea,,,,,,,45,,,,0,0,1,1.8,,,,,,NOT EXACT #. Generally calls for economic data and ntoes that economic feasibility will be key for utilizing joint activities,Thorough stakeholder pros listed in table 2,Thorough stakeholder cons listed in table 2,1,1,0,0,0,,,stakeholder survey and recommendations
,Michler-Cieluch and Krause,2008,mi_2008,Perceived concerns and possible management strategies for governing ‘wind farm–mariculture integration’,German North Sea,North Sea,,,,,,,,,,,0,1,1,,,,,,lots of uncertainty about lack of management across sectors ,,uncertainty,"biological, technical and economic concerns and hesitency",1,1,0,0,0,Stakeholder assessment,no,Semi-structured interviews of OWF sector and aquaculture sector along North Sea
,Buck et al ,2004,bu_2004,Extensive open ocean aquaculture development within wind farms in Germany: the prospect of offshore co-management and legal constraints,German North Sea,North Sea,,,,,,,,,,,0,1,1,,,,"to date, seems to be granting permits on a case-by-case basis ","distinction between EEZ and state waters
Table 1 gives extensive regulatory framework",legislative uncertaininties seem to be major drawback,,"potential to foster alliances between state and federal conservation organizations, fishers, and farmers. Economic cooperation",maritime traffic,1,1,0,0,0,Recommendations,,
,Schupp et al,2021,sc_2021,Dissecting the offshore wind and mariculture multi-use discourse: a new approach using targeted SWOT analysis,Gernam North Seaq,North Sea,,,,,,,,,,,0,1,1,,,,,,,,,,1,1,0,0,0,SSI and SWOT analysis,,SSIs and SWOT analysis work in North Sea
Aquaculture,Garavelli et al,2022,ga_2022,A feasibility assessment for co-locating and powering offshore aquaculture with wave energy in the United States,United States,California Current,Insular Pacific-Hawaiian,,,,,,,25,100,62.5,1,0,0,x,marine energy atlas,,,,,,,,1,0,1,0,0,,,
Aquaculture,Zanuttigh et al,2021,za_2021,Design of a multi-use marine area off-shore the Mediterranean Sea,Italy,Mediterranean Sea,,,,,,,16,16,16,16,1,0,0,1.5 m,,,,,,,,,1,1,1,0,0,,,
,Przedrzymirska et al,2021,pr_2021,Multi-Use of the Sea as a Sustainable Development Instrument in Five EU Sea Basins,European Union,Mediterranean Sea,Baltic Sea,Black Sea,North Sea,Celtic Biscay Shelf,Iberian Coastal,,,,,,0,1,1,,,,,,,,,,1,1,0,0,1,which multi uses are best suited for each EU sea basin,,
Aquaculture,Billing et al,2022,bi_2022,Combining wind power and farmed fish: Coastal community perceptions of multi-use offshore renewable energy installations in Europe,Italy and Scotland,Mediterranean Sea,Celtic Biscay Shelf,,,,,,,0,200,100,0,0,1,,,,,,,,,,1,1,1,1,0,,,
Aquaculture,Serpetti et al,2021,se_2021,Modeling Small Scale Impacts of Multi-Purpose Platforms: An Ecosystem Approach,,Celtic Biscay Shelf,,,,,,,,0,200,100,1,0,0,,,,,,,,,,1,1,1,0,1,,,
,Steins et al,2021,st_2021,"Combining offshore wind farms, nature conservation and seafood: Lessons from a Dutch community of practice",,North Sea,,,,,,,,,,,0,1,1,,,,,,,,,,1,1,0,0,1,,,
,Aryai et al,2021,ar_2021,Reliability of multi-purpose offshore-facilities: Present status and future direction in Australia,,None,,,,,,,,,,,0,0,0,,,,,,,,,,1,1,1,1,1,,,
,Tamis et al,2021,ta_2021,Developing an Environmental Impact Assessment for Floating Island Applications,,None,,,,,,,,,,,1,0,0,,,,,,,,,,1,0,0,0,1,,,