lme,count,lat,long
Arabian Sea,1,15.300902,64.577485
Baltic Sea,10,57.36059138,19.36395961
Black Sea,2,43.233654,34.009451
California Current,2,34.45070699,-120.9061314
Canary Current,1,26.34260179,-14.89527863
Celtic-Biscay Shelf,16,50.63158315,-8.218227576
East China Sea,3,28.99260211,125.6115151
East-Central Australian Shelf,1,-31.826167,154.203954
Faroe Plateau,1,61.76012595,-7.695594393
Gulf of Alaska,1,57.95997362,-143.4528096
Gulf of California,1,26.37545453,-110.4996013
Gulf of Mexico,2,25.19965334,-89.80140866
Iberian Coastal,14,41.46272774,-9.359221715
Insular Pacific-Hawaiian,1,22.396776,-161.697561
Mediterranean Sea,22,35.11516217,17.73778009
NE U.S. Continental Shelf,3,42.05614761,-67.45424011
New Zealand Shelf,1,-40.47554192,173.6087244
North Australian Shelf,1,-13.925874,139.121889
North Sea,39,56.41183683,2.967170143
Northeast Australian Shelf,1,-18.830423,150.670628
Norwegian Shelf,1,69.76259021,8.220289457
SE U.S. Continental Shelf,1,30.99043436,-80.46239268
Sea of Japan,1,39.73548253,134.0529459
South China Sea,2,14.08255144,114.0833991
Southeast Australian Shelf,1,-44.521918,146.388329
West-Central Australian Shelf,1,-28.68684486,112.0857192
Yellow Sea,1,36.569876,123.86977